Source,Target,Weight
11433,13303,3
14869,12478,8
14057,14869,3
15016,11433,2
11193,12892,2
10397,15016,5
15016,10397,5
10397,14869,3
10397,10423,6
11278,10397,11
14107,13487,5
11433,11298,4
11298,11433,5
11433,12892,5
10397,12451,11
12451,10397,15
12953,10397,15
11433,12953,8
10397,14771,4
13204,10397,13
13487,12889,5
12889,13487,3
10397,14027,5
14027,10397,7
13244,10397,11
12953,11697,6
10397,12892,11
14869,14747,4
14747,14869,5
10423,10397,5
11292,12953,2
14869,14893,4
14869,14908,3
12892,15304,2
10397,11193,8
10397,11278,14
10397,13198,6
13198,10397,6
11057,10397,10
11433,13487,8
13487,11433,10
10397,14100,11
14100,10397,11
12478,10397,6
12889,11433,8
10397,14683,5
11697,12953,2
12892,10693,2
13487,13198,3
13198,13487,5
12339,10397,6
12478,12892,12
14869,13487,6
12266,11433,2
14747,10397,6
15304,10397,16
13487,14635,4
14635,13487,5
13930,10397,10
14679,14869,9
12478,10721,2
10397,12953,16
14100,14869,2
14869,14100,2
13204,11193,4
13487,14057,2
14057,13487,4
13487,14107,6
10721,10397,7
10397,10821,10
10821,10397,9
10397,13931,5
11433,11057,5
14107,11433,4
11066,10397,5
11433,10397,12
14747,13487,6
11433,12889,6
10397,11292,7
10397,13495,8
13495,10397,8
10397,13244,7
10397,10140,2
10140,10397,1
10397,10792,5
10792,10397,3
14492,11433,1
10397,15376,1
13487,10397,12
10397,11066,5
12953,11433,11
10397,11697,6
11433,13204,5
14635,10397,7
10397,15304,15
13487,14747,5
14747,12173,2
11618,11433,2
14771,12478,8
14869,12892,4
10397,11618,11
13487,15304,2
11433,11278,6
12173,14747,2
10397,12266,6
10397,11057,9
14908,14869,3
14057,12478,2
13487,14869,9
13487,13342,7
13342,13487,5
12892,12478,9
11433,13342,2
13204,13244,3
14730,10397,7
10397,14679,4
14679,10397,2
12892,13487,5
10397,13204,20
11193,14869,2
13204,12889,2
12889,13204,2
13204,12953,6
14869,14679,8
13487,14831,3
10397,12339,5
10397,14122,7
14122,10397,12
15016,13487,2
12953,13204,4
10397,10721,10
10397,11042,2
13487,12953,5
13204,13487,5
11193,14635,2
14635,11193,2
13487,14771,5
14771,13487,6
10693,10397,6
10397,11298,10
11298,10397,11
14869,10299,2
11193,10397,9
12953,13487,6
13487,11697,2
11697,13487,2
13487,12892,5
13244,11433,4
14869,10397,6
11697,10397,7
13204,11433,6
10397,14747,6
12892,14869,4
12892,13495,3
11433,14869,4
11618,10397,13
11057,11433,3
11193,12889,2
12889,11193,2
14869,11433,6
10397,12478,6
10397,14492,6
14492,10397,3
14027,12953,5
11278,14869,3
14869,11278,4
12173,12892,2
12892,12173,2
12953,14027,5
13487,14893,2
10397,13303,12
13303,10397,12
14869,14771,2
14771,14869,2
10397,13342,10
13342,10397,10
10397,13487,16
11433,13495,2
14908,13487,5
14893,14869,3
12478,15304,2
12953,15304,3
14771,11193,2
11292,13487,8
10397,14524,3
14524,10397,3
12478,13204,6
13204,12478,6
12478,14869,2
12266,10397,9
12892,11433,1
12478,14771,3
12889,10397,5
10397,12889,5
12478,11697,4
12478,11433,2
12892,10397,7
10397,11433,6
11433,11292,5
11433,10721,4
10721,11433,4
12478,12889,2
14747,12478,3
12478,14747,2
12478,14107,3
14679,12478,3
11697,11433,3
12478,13303,2
12478,14843,6
13204,14869,4
14843,12478,6
15376,10397,2
10397,14893,3
14893,10397,3
12889,12478,3
10397,10693,4
10721,13487,7
14843,10397,8
13487,13244,2
10397,14843,8
12889,14869,5
13244,13487,2
13495,12953,4
12889,13244,3
10397,14635,5
14869,11193,2
12478,14679,2
10397,10529,2
12953,13303,7
14057,10397,2
11057,14869,2
14869,11057,2
10821,13487,1
12478,11292,2
13232,10397,6
15304,12953,4
14683,10397,7
11292,10397,3
14679,13487,2
11278,11433,5
11433,15016,2
11433,10693,1
10693,11433,2
11433,15304,4
12339,11433,2
12953,13495,2
12478,10423,2
14869,14831,2
11433,14747,3
11433,14771,3
10397,13232,6
10397,14307,3
10397,14057,2
14869,12889,3
10397,14730,6
13303,12478,2
13303,11433,2
11433,12339,2
11193,13204,3
13487,10721,7
10397,13930,7
13204,10721,2
13487,13871,2
13871,13487,3
14747,11433,2
10721,11193,1
13198,12892,1
11433,14679,1
14679,11433,1
14635,12953,1
12173,10397,1
10397,12173,1
13244,15304,1
10397,13871,1
13871,10397,2
14107,10397,2
12892,14492,1
15304,13244,1
11433,14635,3
14771,11433,2
10721,12478,1
13303,12953,5
12339,12892,1
12892,13204,1
12953,11292,2
15304,12478,1
15304,11433,5
11193,10721,1
13487,13930,3
13930,13487,2
11697,11193,2
11193,11697,1
10821,14869,1
13487,10821,1
12892,13198,1
13487,13303,1
14869,14057,2
11433,12266,1
12892,12339,1
13487,11298,1
12953,14122,1
14869,13244,1
14122,12953,1
13495,12892,1
13487,11278,2
14771,10397,2
13487,14679,1
11433,13930,1
10397,14107,2
14908,10397,1
11433,14107,3
11433,14027,1
14027,11433,1
10821,11433,2
11193,14107,1
11278,13487,3
10423,12478,1
13487,13204,2
13487,15016,1
14635,11433,2
14107,12478,2
11042,10397,1
10693,12892,1
11298,13487,1
14869,14570,2
11193,14747,1
14747,11193,1
13487,11292,3
14869,10721,1
13930,11433,1
13244,12892,1
12892,13244,1
11433,13244,2
11193,15304,1
15304,11193,1
11298,14869,1
14869,14107,2
14107,14869,1
14570,14869,2
14492,12892,1
15016,14869,1
13487,14908,3
13244,13204,1
10397,12264,1
12264,10397,1
13487,10140,1
10140,13487,1
13830,12892,1
13931,10397,1
11618,13487,1
11697,12478,1
12339,13487,1
11433,14057,1
10299,14869,1
14307,10397,1
